Date,Open,High,Low,Close,Adj Close,Volume
2013-12-23,77.730003,77.989998,77.370003,77.870003,67.667419,4491900
2013-12-24,77.949997,78.239998,77.629997,78.010002,67.789055,2094900
2013-12-26,78.059998,78.519997,77.970001,78.389999,68.119293,2778200
2013-12-27,78.599998,78.93,78.300003,78.470001,68.188812,3050000
2013-12-30,78.610001,78.879997,78.43,78.629997,68.327835,3086500
2013-12-31,78.660004,78.870003,78.349998,78.690002,68.37999,3859100
2014-01-02,78.720001,79.470001,78.5,78.910004,68.571175,6878000
2014-01-03,78.809998,79.129997,78.519997,78.650002,68.345222,4957400
2014-01-06,78.860001,78.910004,77.790001,78.209999,67.962868,7280200
2014-01-07,78.169998,78.849998,77.919998,78.449997,68.171432,5012300
2014-01-08,78.5,78.510002,77.599998,77.830002,67.632675,5955200
2014-01-09,78.389999,78.400002,77.489998,78.089996,67.858604,5916300
2014-01-10,78.309998,78.720001,77.540001,78.040001,67.815132,5181300
2014-01-13,77.599998,77.970001,77.239998,77.489998,67.337196,6157900
2014-01-14,77.459999,78,77.379997,77.959999,67.745636,4088200
2014-01-15,77.959999,78.099998,77.57,77.660004,67.484924,4992400
2014-01-16,77.389999,77.470001,76.349998,76.760002,66.70285,7201500
2014-01-17,76.730003,76.82,76.029999,76.190002,66.207535,11440700
2014-01-21,76.25,76.389999,74.860001,75.839996,65.903374,8971100
2014-01-22,76.080002,76.080002,75.029999,75.349998,65.47757,5853700
2014-01-23,74.839996,75.120003,74.470001,74.959999,65.13868,6006300
2014-01-24,74.730003,75.120003,74.230003,74.419998,64.669449,9332800
2014-01-27,74.129997,74.370003,73.830002,74.150002,64.434822,9088700
2014-01-28,74.260002,75.400002,74.099998,74.669998,64.886673,6023400
2014-01-29,75.290001,75.370003,74.07,74.099998,64.39135,8433700
2014-01-30,74.540001,75.089996,74.360001,74.75,64.9562,6732900
2014-01-31,73.919998,75.190002,73.639999,74.68,64.895386,10544800
2014-02-03,74.190002,74.5,72.540001,72.660004,63.140041,10430700
2014-02-04,72.669998,73.099998,72.300003,72.730003,63.200874,7755500
2014-02-05,72.269997,73.160004,72.269997,72.870003,63.32251,4774300
2014-02-06,72.970001,73.209999,72.5,72.82,63.279091,7353100
2014-02-07,73.050003,73.800003,72.5,73.75,64.087219,7287600
2014-02-10,73.589996,73.760002,72.959999,73.760002,64.095932,6204100
2014-02-11,73.900002,74.849998,73.669998,74.800003,64.999649,6511200
2014-02-12,74.220001,75.18,74.220001,74.959999,65.13868,5339800
2014-02-13,74.68,75.489998,74.559998,75.360001,65.48629,5250200
2014-02-14,75.400002,75.989998,75.099998,75.790001,65.859947,4908900
2014-02-18,75.489998,75.650002,74.860001,75.330002,65.460205,5993800
2014-02-19,75.010002,75.32,74.410004,74.849998,65.043114,8130300
2014-02-20,73.050003,74,72.809998,73.519997,63.887341,13079100
2014-02-21,73.190002,73.400002,72.82,73.120003,63.539757,8971000
2014-02-24,73.239998,73.82,73.139999,73.349998,63.739647,7321500
2014-02-25,73.18,73.739998,73.089996,73.349998,63.739647,9482700
2014-02-26,73.940002,75.099998,73.790001,74.779999,64.982269,9022200
2014-02-27,74.779999,74.779999,74.089996,74.559998,64.7911,5448200
2014-02-28,74.480003,75.190002,74.199997,74.699997,64.912766,7444600
2014-03-03,74.489998,74.669998,73.830002,74.120003,64.408737,5347600
2014-03-04,74.769997,75.489998,74.660004,75.129997,65.286407,7543800
2014-03-05,75.32,75.330002,74.580002,74.800003,64.999649,5524800
2014-03-06,74.860001,75.110001,74.510002,74.879997,65.069168,5106600
2014-03-07,74.959999,74.959999,74.360001,74.580002,65.226601,5054600
2014-03-10,74.519997,74.599998,74.050003,74.43,65.095406,4827000
